"area_code","area_type","area_name","year","period","type_definition","indicator","numerator","measure","upper_confidence_interval","lower_confidence_interval"
"S12000021","Council area","North Ayrshire",2021,"2020/21 to 2022/23 financial years; 3-year aggregates","Age-sex standardised rate per 100,000","Alcohol-related hospital admissions, aged 11-25 years",39,193.2,263.6,137.7
"S12000023","Council area","Orkney Islands",2021,"2020/21 to 2022/23 financial years; 3-year aggregates","Age-sex standardised rate per 100,000","Alcohol-related hospital admissions, aged 11-25 years",12,394.1,695.3,200.1
"S12000026","Council area","Scottish Borders",2021,"2020/21 to 2022/23 financial years; 3-year aggregates","Age-sex standardised rate per 100,000","Alcohol-related hospital admissions, aged 11-25 years",27,162.9,239.2,106
"S12000027","Council area","Shetland Islands",2021,"2020/21 to 2022/23 financial years; 3-year aggregates","Age-sex standardised rate per 100,000","Alcohol-related hospital admissions, aged 11-25 years",18,531.8,846.9,311.3
"S12000028","Council area","South Ayrshire",2021,"2020/21 to 2022/23 financial years; 3-year aggregates","Age-sex standardised rate per 100,000","Alcohol-related hospital admissions, aged 11-25 years",45,289.8,386.4,212.2
"S12000029","Council area","South Lanarkshire",2021,"2020/21 to 2022/23 financial years; 3-year aggregates","Age-sex standardised rate per 100,000","Alcohol-related hospital admissions, aged 11-25 years",96,190.6,232.7,154.5
"S12000030","Council area","Stirling",2021,"2020/21 to 2022/23 financial years; 3-year aggregates","Age-sex standardised rate per 100,000","Alcohol-related hospital admissions, aged 11-25 years",18,91.7,145.8,53.8
"S12000033","Council area","Aberdeen City",2021,"2020/21 to 2022/23 financial years; 3-year aggregates","Age-sex standardised rate per 100,000","Alcohol-related hospital admissions, aged 11-25 years",105,226.4,275.1,184.4
"S12000034","Council area","Aberdeenshire",2021,"2020/21 to 2022/23 financial years; 3-year aggregates","Age-sex standardised rate per 100,000","Alcohol-related hospital admissions, aged 11-25 years",60,168.3,216.9,128.1
"S12000035","Council area","Argyll & Bute",2021,"2020/21 to 2022/23 financial years; 3-year aggregates","Age-sex standardised rate per 100,000","Alcohol-related hospital admissions, aged 11-25 years",39,311,427.2,219.6
"S12000036","Council area","City of Edinburgh",2021,"2020/21 to 2022/23 financial years; 3-year aggregates","Age-sex standardised rate per 100,000","Alcohol-related hospital admissions, aged 11-25 years",177,155.5,180.8,132.8
"S12000038","Council area","Renfrewshire",2021,"2020/21 to 2022/23 financial years; 3-year aggregates","Age-sex standardised rate per 100,000","Alcohol-related hospital admissions, aged 11-25 years",54,183.3,238.7,138.1
"S12000039","Council area","West Dunbartonshire",2021,"2020/21 to 2022/23 financial years; 3-year aggregates","Age-sex standardised rate per 100,000","Alcohol-related hospital admissions, aged 11-25 years",27,188.3,274.1,124
"S12000040","Council area","West Lothian",2021,"2020/21 to 2022/23 financial years; 3-year aggregates","Age-sex standardised rate per 100,000","Alcohol-related hospital admissions, aged 11-25 years",69,231.8,294.3,179.7
"S12000041","Council area","Angus",2021,"2020/21 to 2022/23 financial years; 3-year aggregates","Age-sex standardised rate per 100,000","Alcohol-related hospital admissions, aged 11-25 years",36,210.5,293.6,146.1
"S12000042","Council area","Dundee City",2021,"2020/21 to 2022/23 financial years; 3-year aggregates","Age-sex standardised rate per 100,000","Alcohol-related hospital admissions, aged 11-25 years",87,251.7,311.4,200.8
"S12000045","Council area","East Dunbartonshire",2021,"2020/21 to 2022/23 financial years; 3-year aggregates","Age-sex standardised rate per 100,000","Alcohol-related hospital admissions, aged 11-25 years",27,178.5,258.7,118.1
"S12000047","Council area","Fife",2021,"2020/21 to 2022/23 financial years; 3-year aggregates","Age-sex standardised rate per 100,000","Alcohol-related hospital admissions, aged 11-25 years",216,335,383,291.7
"S12000048","Council area","Perth & Kinross",2021,"2020/21 to 2022/23 financial years; 3-year aggregates","Age-sex standardised rate per 100,000","Alcohol-related hospital admissions, aged 11-25 years",48,227,300.2,167.9
"S12000049","Council area","Glasgow City",2021,"2020/21 to 2022/23 financial years; 3-year aggregates","Age-sex standardised rate per 100,000","Alcohol-related hospital admissions, aged 11-25 years",279,205.9,232,182
"S12000050","Council area","North Lanarkshire",2021,"2020/21 to 2022/23 financial years; 3-year aggregates","Age-sex standardised rate per 100,000","Alcohol-related hospital admissions, aged 11-25 years",99,170.2,207,138.4
"S12000005","Council area","Clackmannanshire",2022,"2022/23 financial year","Age-sex standardised rate per 100,000","Alcohol-related hospital admissions",261,491,554.9,432.7
"S12000006","Council area","Dumfries & Galloway",2022,"2022/23 financial year","Age-sex standardised rate per 100,000","Alcohol-related hospital admissions",630,429,465.3,394.8
"S12000008","Council area","East Ayrshire",2022,"2022/23 financial year","Age-sex standardised rate per 100,000","Alcohol-related hospital admissions",561,462.4,502.7,424.4
"S12000010","Council area","East Lothian",2022,"2022/23 financial year","Age-sex standardised rate per 100,000","Alcohol-related hospital admissions",369,325,360.1,292.4
"S12000011","Council area","East Renfrewshire",2022,"2022/23 financial year","Age-sex standardised rate per 100,000","Alcohol-related hospital admissions",264,279.3,315.6,246.1
"S12000013","Council area","Na h-Eileanan Siar",2022,"2022/23 financial year","Age-sex standardised rate per 100,000","Alcohol-related hospital admissions",339,1175.6,1313.5,1048.3
"S12000014","Council area","Falkirk",2022,"2022/23 financial year","Age-sex standardised rate per 100,000","Alcohol-related hospital admissions",885,557.5,595.6,521.1
"S12000017","Council area","Highland",2022,"2022/23 financial year","Age-sex standardised rate per 100,000","Alcohol-related hospital admissions",1155,464.5,492.6,437.7
"S12000018","Council area","Inverclyde",2022,"2022/23 financial year","Age-sex standardised rate per 100,000","Alcohol-related hospital admissions",564,689.7,750.3,632.8
"S12000019","Council area","Midlothian",2022,"2022/23 financial year","Age-sex standardised rate per 100,000","Alcohol-related hospital admissions",282,297.7,334.8,263.9
"S12000020","Council area","Moray",2022,"2022/23 financial year","Age-sex standardised rate per 100,000","Alcohol-related hospital admissions",330,347.1,387.2,310.1
"S12000021","Council area","North Ayrshire",2022,"2022/23 financial year","Age-sex standardised rate per 100,000","Alcohol-related hospital admissions",693,509.9,550.2,471.8
"S12000023","Council area","Orkney Islands",2022,"2022/23 financial year","Age-sex standardised rate per 100,000","Alcohol-related hospital admissions",120,532.7,640.2,438.9
"S12000026","Council area","Scottish Borders",2022,"2022/23 financial year","Age-sex standardised rate per 100,000","Alcohol-related hospital admissions",345,279.2,311.3,249.5
"S12000027","Council area","Shetland Islands",2022,"2022/23 financial year","Age-sex standardised rate per 100,000","Alcohol-related hospital admissions",129,557,663.2,463.9
"S12000028","Council area","South Ayrshire",2022,"2022/23 financial year","Age-sex standardised rate per 100,000","Alcohol-related hospital admissions",570,498.4,542.4,457.1
"S12000029","Council area","South Lanarkshire",2022,"2022/23 financial year","Age-sex standardised rate per 100,000","Alcohol-related hospital admissions",1824,551.5,577.6,526.3
"S12000030","Council area","Stirling",2022,"2022/23 financial year","Age-sex standardised rate per 100,000","Alcohol-related hospital admissions",402,442.6,488.6,399.9
"S12000033","Council area","Aberdeen City",2022,"2022/23 financial year","Age-sex standardised rate per 100,000","Alcohol-related hospital admissions",1179,545.7,578,514.7
"S12000034","Council area","Aberdeenshire",2022,"2022/23 financial year","Age-sex standardised rate per 100,000","Alcohol-related hospital admissions",735,273.3,294.1,253.7
"S12000035","Council area","Argyll & Bute",2022,"2022/23 financial year","Age-sex standardised rate per 100,000","Alcohol-related hospital admissions",621,662.4,718.7,609.5
"S12000036","Council area","City of Edinburgh",2022,"2022/23 financial year","Age-sex standardised rate per 100,000","Alcohol-related hospital admissions",1785,382.1,400.5,364.4
"S12000038","Council area","Renfrewshire",2022,"2022/23 financial year","Age-sex standardised rate per 100,000","Alcohol-related hospital admissions",1065,580.1,616.3,545.5
"S12000039","Council area","West Dunbartonshire",2022,"2022/23 financial year","Age-sex standardised rate per 100,000","Alcohol-related hospital admissions",702,795.7,857.5,737.3
"S12000040","Council area","West Lothian",2022,"2022/23 financial year","Age-sex standardised rate per 100,000","Alcohol-related hospital admissions",780,438.9,471.3,408.3
"S12000041","Council area","Angus",2022,"2022/23 financial year","Age-sex standardised rate per 100,000","Alcohol-related hospital admissions",582,509.1,553.2,467.7
"S12000042","Council area","Dundee City",2022,"2022/23 financial year","Age-sex standardised rate per 100,000","Alcohol-related hospital admissions",945,675.2,720.2,632.3
"S12000045","Council area","East Dunbartonshire",2022,"2022/23 financial year","Age-sex standardised rate per 100,000","Alcohol-related hospital admissions",399,364.1,402.4,328.6
"S12000047","Council area","Fife",2022,"2022/23 financial year","Age-sex standardised rate per 100,000","Alcohol-related hospital admissions",2223,605.6,631.5,580.4
"S12000048","Council area","Perth & Kinross",2022,"2022/23 financial year","Age-sex standardised rate per 100,000","Alcohol-related hospital admissions",717,475.5,512.3,440.6
"S12000049","Council area","Glasgow City",2022,"2022/23 financial year","Age-sex standardised rate per 100,000","Alcohol-related hospital admissions",5088,899.8,925.5,874.5
"S12000050","Council area","North Lanarkshire",2022,"2022/23 financial year","Age-sex standardised rate per 100,000","Alcohol-related hospital admissions",2271,671.4,699.9,643.9
"S12000033","Council area","Aberdeen City",2021,"4-year aggregate (2018-2022)","Percentage","Alcohol consumption exceeding weekly limits, females",NA,18,22,13.2
"S12000034","Council area","Aberdeenshire",2021,"4-year aggregate (2018-2022)","Percentage","Alcohol consumption exceeding weekly limits, females",NA,15,18.7,11.5
"S12000041","Council area","Angus",2021,"4-year aggregate (2018-2022)","Percentage","Alcohol consumption exceeding weekly limits, females",NA,21,27.1,15.8
"S12000035","Council area","Argyll & Bute",2021,"4-year aggregate (2018-2022)","Percentage","Alcohol consumption exceeding weekly limits, females",NA,15,19.7,10.3
"S12000005","Council area","Clackmannanshire",2021,"4-year aggregate (2018-2022)","Percentage","Alcohol consumption exceeding weekly limits, females",NA,12,16.4,8.3
"S12000006","Council area","Dumfries & Galloway",2021,"4-year aggregate (2018-2022)","Percentage","Alcohol consumption exceeding weekly limits, females",NA,9,14.5,4
"S12000042","Council area","Dundee City",2021,"4-year aggregate (2018-2022)","Percentage","Alcohol consumption exceeding weekly limits, females",NA,10,13.9,6.3
"S12000008","Council area","East Ayrshire",2021,"4-year aggregate (2018-2022)","Percentage","Alcohol consumption exceeding weekly limits, females",NA,15,20.7,10
"S12000045","Council area","East Dunbartonshire",2021,"4-year aggregate (2018-2022)","Percentage","Alcohol consumption exceeding weekly limits, females",NA,18,23.5,13.1
"S12000010","Council area","East Lothian",2021,"4-year aggregate (2018-2022)","Percentage","Alcohol consumption exceeding weekly limits, females",NA,20,24.3,15
"S12000011","Council area","East Renfrewshire",2021,"4-year aggregate (2018-2022)","Percentage","Alcohol consumption exceeding weekly limits, females",NA,16,20.6,11.6
"S12000036","Council area","City of Edinburgh",2021,"4-year aggregate (2018-2022)","Percentage","Alcohol consumption exceeding weekly limits, females",NA,21,24.3,17.5
"S12000014","Council area","Falkirk",2021,"4-year aggregate (2018-2022)","Percentage","Alcohol consumption exceeding weekly limits, females",NA,18,24,11.9
"S12000047","Council area","Fife",2021,"4-year aggregate (2018-2022)","Percentage","Alcohol consumption exceeding weekly limits, females",NA,16,18.7,13.2
"S12000049","Council area","Glasgow City",2021,"4-year aggregate (2018-2022)","Percentage","Alcohol consumption exceeding weekly limits, females",NA,16,18.9,13.1
"S12000017","Council area","Highland",2021,"4-year aggregate (2018-2022)","Percentage","Alcohol consumption exceeding weekly limits, females",NA,14,17.9,9.3
"S12000018","Council area","Inverclyde",2021,"4-year aggregate (2018-2022)","Percentage","Alcohol consumption exceeding weekly limits, females",NA,16,21.6,10.7
"S12000019","Council area","Midlothian",2021,"4-year aggregate (2018-2022)","Percentage","Alcohol consumption exceeding weekly limits, females",NA,15,20.5,9.2
"S12000020","Council area","Moray",2021,"4-year aggregate (2018-2022)","Percentage","Alcohol consumption exceeding weekly limits, females",NA,17,21.9,12.1
"S12000013","Council area","Na h-Eileanan Siar",2021,"4-year aggregate (2018-2022)","Percentage","Alcohol consumption exceeding weekly limits, females",NA,12,16,7.3
"S12000021","Council area","North Ayrshire",2021,"4-year aggregate (2018-2022)","Percentage","Alcohol consumption exceeding weekly limits, females",NA,10,14.3,5.5
"S12000050","Council area","North Lanarkshire",2021,"4-year aggregate (2018-2022)","Percentage","Alcohol consumption exceeding weekly limits, females",NA,13,15.5,9.6
"S12000023","Council area","Orkney Islands",2021,"4-year aggregate (2018-2022)","Percentage","Alcohol consumption exceeding weekly limits, females",NA,15,20.9,9.5
"S12000048","Council area","Perth & Kinross",2021,"4-year aggregate (2018-2022)","Percentage","Alcohol consumption exceeding weekly limits, females",NA,16,20.6,11.4
"S12000038","Council area","Renfrewshire",2021,"4-year aggregate (2018-2022)","Percentage","Alcohol consumption exceeding weekly limits, females",NA,14,18.8,9.3
"S12000026","Council area","Scottish Borders",2021,"4-year aggregate (2018-2022)","Percentage","Alcohol consumption exceeding weekly limits, females",NA,17,22.3,12.6
"S12000027","Council area","Shetland Islands",2021,"4-year aggregate (2018-2022)","Percentage","Alcohol consumption exceeding weekly limits, females",NA,9,12.3,5.8
"S12000028","Council area","South Ayrshire",2021,"4-year aggregate (2018-2022)","Percentage","Alcohol consumption exceeding weekly limits, females",NA,17,22.2,11.7
"S12000029","Council area","South Lanarkshire",2021,"4-year aggregate (2018-2022)","Percentage","Alcohol consumption exceeding weekly limits, females",NA,16,19.5,12.2
"S12000030","Council area","Stirling",2021,"4-year aggregate (2018-2022)","Percentage","Alcohol consumption exceeding weekly limits, females",NA,19,23.7,14.8
"S12000039","Council area","West Dunbartonshire",2021,"4-year aggregate (2018-2022)","Percentage","Alcohol consumption exceeding weekly limits, females",NA,17,23.5,11
"S12000040","Council area","West Lothian",2021,"4-year aggregate (2018-2022)","Percentage","Alcohol consumption exceeding weekly limits, females",NA,13,17,9
"S12000033","Council area","Aberdeen City",2021,"4-year aggregate (2018-2022)","Percentage","Alcohol consumption exceeding weekly limits, males",NA,29,34.1,24
"S12000034","Council area","Aberdeenshire",2021,"4-year aggregate (2018-2022)","Percentage","Alcohol consumption exceeding weekly limits, males",NA,25,30.3,18.7
"S12000041","Council area","Angus",2021,"4-year aggregate (2018-2022)","Percentage","Alcohol consumption exceeding weekly limits, males",NA,27,34.2,20.1
"S12000035","Council area","Argyll & Bute",2021,"4-year aggregate (2018-2022)","Percentage","Alcohol consumption exceeding weekly limits, males",NA,32,39.5,24.5
"S12000005","Council area","Clackmannanshire",2021,"4-year aggregate (2018-2022)","Percentage","Alcohol consumption exceeding weekly limits, males",NA,33,42.1,23.4
"S12000006","Council area","Dumfries & Galloway",2021,"4-year aggregate (2018-2022)","Percentage","Alcohol consumption exceeding weekly limits, males",NA,31,37.5,23.7
"S12000042","Council area","Dundee City",2021,"4-year aggregate (2018-2022)","Percentage","Alcohol consumption exceeding weekly limits, males",NA,32,39.3,23.8
"S12000008","Council area","East Ayrshire",2021,"4-year aggregate (2018-2022)","Percentage","Alcohol consumption exceeding weekly limits, males",NA,35,41.8,28.4
"S12000045","Council area","East Dunbartonshire",2021,"4-year aggregate (2018-2022)","Percentage","Alcohol consumption exceeding weekly limits, males",NA,34,39.9,27.2
"S12000010","Council area","East Lothian",2021,"4-year aggregate (2018-2022)","Percentage","Alcohol consumption exceeding weekly limits, males",NA,29,36,21.4
"S12000011","Council area","East Renfrewshire",2021,"4-year aggregate (2018-2022)","Percentage","Alcohol consumption exceeding weekly limits, males",NA,32,40.1,23.9
"S12000036","Council area","City of Edinburgh",2021,"4-year aggregate (2018-2022)","Percentage","Alcohol consumption exceeding weekly limits, males",NA,41,45.7,35.9
"S12000014","Council area","Falkirk",2021,"4-year aggregate (2018-2022)","Percentage","Alcohol consumption exceeding weekly limits, males",NA,31,38.8,24
"S12000047","Council area","Fife",2021,"4-year aggregate (2018-2022)","Percentage","Alcohol consumption exceeding weekly limits, males",NA,29,33.9,24
"S12000049","Council area","Glasgow City",2021,"4-year aggregate (2018-2022)","Percentage","Alcohol consumption exceeding weekly limits, males",NA,29,33.4,25.2
"S12000017","Council area","Highland",2021,"4-year aggregate (2018-2022)","Percentage","Alcohol consumption exceeding weekly limits, males",NA,26,31.8,20.7
"S12000018","Council area","Inverclyde",2021,"4-year aggregate (2018-2022)","Percentage","Alcohol consumption exceeding weekly limits, males",NA,34,41.8,25.8
"S12000019","Council area","Midlothian",2021,"4-year aggregate (2018-2022)","Percentage","Alcohol consumption exceeding weekly limits, males",NA,28,34.8,22.1
"S12000020","Council area","Moray",2021,"4-year aggregate (2018-2022)","Percentage","Alcohol consumption exceeding weekly limits, males",NA,27,33.5,20.4
"S12000013","Council area","Na h-Eileanan Siar",2021,"4-year aggregate (2018-2022)","Percentage","Alcohol consumption exceeding weekly limits, males",NA,19,24,14
"S12000021","Council area","North Ayrshire",2021,"4-year aggregate (2018-2022)","Percentage","Alcohol consumption exceeding weekly limits, males",NA,34,43.3,23.9
"S12000050","Council area","North Lanarkshire",2021,"4-year aggregate (2018-2022)","Percentage","Alcohol consumption exceeding weekly limits, males",NA,33,40.8,24.7
"S12000023","Council area","Orkney Islands",2021,"4-year aggregate (2018-2022)","Percentage","Alcohol consumption exceeding weekly limits, males",NA,29,37.3,19.8
"S12000048","Council area","Perth & Kinross",2021,"4-year aggregate (2018-2022)","Percentage","Alcohol consumption exceeding weekly limits, males",NA,35,42,27.5
"S12000038","Council area","Renfrewshire",2021,"4-year aggregate (2018-2022)","Percentage","Alcohol consumption exceeding weekly limits, males",NA,31,38.7,23.7
"S12000026","Council area","Scottish Borders",2021,"4-year aggregate (2018-2022)","Percentage","Alcohol consumption exceeding weekly limits, males",NA,36,42.8,28.5
"S12000027","Council area","Shetland Islands",2021,"4-year aggregate (2018-2022)","Percentage","Alcohol consumption exceeding weekly limits, males",NA,31,38.2,22.8
"S12000028","Council area","South Ayrshire",2021,"4-year aggregate (2018-2022)","Percentage","Alcohol consumption exceeding weekly limits, males",NA,36,42.1,29.7
"S12000029","Council area","South Lanarkshire",2021,"4-year aggregate (2018-2022)","Percentage","Alcohol consumption exceeding weekly limits, males",NA,33,39.9,27.1
"S12000030","Council area","Stirling",2021,"4-year aggregate (2018-2022)","Percentage","Alcohol consumption exceeding weekly limits, males",NA,33,40.6,24.7
"S12000039","Council area","West Dunbartonshire",2021,"4-year aggregate (2018-2022)","Percentage","Alcohol consumption exceeding weekly limits, males",NA,24,31.3,16.7
"S12000040","Council area","West Lothian",2021,"4-year aggregate (2018-2022)","Percentage","Alcohol consumption exceeding weekly limits, males",NA,24,29.1,18.5
"S12000005","Council area","Clackmannanshire",2022,"2022 calendar year","Age-sex standardised rate per 100,000","Drug-related deaths",10,22,40.5,10.5
"S12000006","Council area","Dumfries & Galloway",2022,"2022 calendar year","Age-sex standardised rate per 100,000","Drug-related deaths",37,31.5,43.6,22
"S12000008","Council area","East Ayrshire",2022,"2022 calendar year","Age-sex standardised rate per 100,000","Drug-related deaths",30,27.5,39.3,18.5
"S12000010","Council area","East Lothian",2022,"2022 calendar year","Age-sex standardised rate per 100,000","Drug-related deaths",17,16.2,26.1,9.4
"S12000011","Council area","East Renfrewshire",2022,"2022 calendar year","Age-sex standardised rate per 100,000","Drug-related deaths",7,7.8,16.1,3.1
"S12000013","Council area","Na h-Eileanan Siar",2022,"2022 calendar year","Age-sex standardised rate per 100,000","Drug-related deaths",NA,5,28,0.1
"S12000014","Council area","Falkirk",2022,"2022 calendar year","Age-sex standardised rate per 100,000","Drug-related deaths",23,15.2,22.8,9.6
"S12000017","Council area","Highland",2022,"2022 calendar year","Age-sex standardised rate per 100,000","Drug-related deaths",42,19.6,26.6,14
"S12000018","Council area","Inverclyde",2022,"2022 calendar year","Age-sex standardised rate per 100,000","Drug-related deaths",29,37.6,54.4,24.9
"S12000019","Council area","Midlothian",2022,"2022 calendar year","Age-sex standardised rate per 100,000","Drug-related deaths",NA,4.1,10.6,1.1
"S12000020","Council area","Moray",2022,"2022 calendar year","Age-sex standardised rate per 100,000","Drug-related deaths",9,10.3,19.7,4.6
"S12000021","Council area","North Ayrshire",2022,"2022 calendar year","Age-sex standardised rate per 100,000","Drug-related deaths",37,31.9,44.1,22.3
"S12000023","Council area","Orkney Islands",2022,"2022 calendar year","Age-sex standardised rate per 100,000","Drug-related deaths",NA,5.1,28.4,0.1
"S12000026","Council area","Scottish Borders",2022,"2022 calendar year","Age-sex standardised rate per 100,000","Drug-related deaths",13,12.7,22,6.6
"S12000027","Council area","Shetland Islands",2022,"2022 calendar year","Age-sex standardised rate per 100,000","Drug-related deaths",NA,14.5,42.5,2.9
"S12000028","Council area","South Ayrshire",2022,"2022 calendar year","Age-sex standardised rate per 100,000","Drug-related deaths",15,15.2,25.2,8.4
"S12000029","Council area","South Lanarkshire",2022,"2022 calendar year","Age-sex standardised rate per 100,000","Drug-related deaths",70,22.3,28.2,17.3
"S12000030","Council area","Stirling",2022,"2022 calendar year","Age-sex standardised rate per 100,000","Drug-related deaths",14,16,27.1,8.6
"S12000033","Council area","Aberdeen City",2022,"2022 calendar year","Age-sex standardised rate per 100,000","Drug-related deaths",42,18.7,25.3,13.4
"S12000034","Council area","Aberdeenshire",2022,"2022 calendar year","Age-sex standardised rate per 100,000","Drug-related deaths",24,10,15,6.4
"S12000035","Council area","Argyll & Bute",2022,"2022 calendar year","Age-sex standardised rate per 100,000","Drug-related deaths",13,16.8,28.8,8.8
"S12000036","Council area","City of Edinburgh",2022,"2022 calendar year","Age-sex standardised rate per 100,000","Drug-related deaths",113,23.2,28,19.1
"S12000038","Council area","Renfrewshire",2022,"2022 calendar year","Age-sex standardised rate per 100,000","Drug-related deaths",39,22.1,30.2,15.7
"S12000039","Council area","West Dunbartonshire",2022,"2022 calendar year","Age-sex standardised rate per 100,000","Drug-related deaths",20,23.9,37.1,14.5
"S12000040","Council area","West Lothian",2022,"2022 calendar year","Age-sex standardised rate per 100,000","Drug-related deaths",32,17.7,25,12.1
"S12000041","Council area","Angus",2022,"2022 calendar year","Age-sex standardised rate per 100,000","Drug-related deaths",18,17.8,28.2,10.4
"S12000042","Council area","Dundee City",2022,"2022 calendar year","Age-sex standardised rate per 100,000","Drug-related deaths",38,29.4,40.5,20.7
"S12000045","Council area","East Dunbartonshire",2022,"2022 calendar year","Age-sex standardised rate per 100,000","Drug-related deaths",9,10.2,19.6,4.6
"S12000047","Council area","Fife",2022,"2022 calendar year","Age-sex standardised rate per 100,000","Drug-related deaths",59,17.3,22.4,13.2
"S12000048","Council area","Perth & Kinross",2022,"2022 calendar year","Age-sex standardised rate per 100,000","Drug-related deaths",21,15.4,23.6,9.5
"S12000049","Council area","Glasgow City",2022,"2022 calendar year","Age-sex standardised rate per 100,000","Drug-related deaths",196,33.3,38.3,28.7
"S12000050","Council area","North Lanarkshire",2022,"2022 calendar year","Age-sex standardised rate per 100,000","Drug-related deaths",65,19.9,25.3,15.3
"S12000005","Council area","Clackmannanshire",2020,"2018 to 2022 calendar years; 5-year aggregates","Age-sex standardised rate per 100,000","Drug-related deaths, females",4.8,20.2,48,6.2
"S12000006","Council area","Dumfries & Galloway",2020,"2018 to 2022 calendar years; 5-year aggregates","Age-sex standardised rate per 100,000","Drug-related deaths, females",10,16.1,29.8,7.6
"S12000008","Council area","East Ayrshire",2020,"2018 to 2022 calendar years; 5-year aggregates","Age-sex standardised rate per 100,000","Drug-related deaths, females",12,21.2,37.2,10.9
"S12000010","Council area","East Lothian",2020,"2018 to 2022 calendar years; 5-year aggregates","Age-sex standardised rate per 100,000","Drug-related deaths, females",5.4,9.9,22.5,3.3
"S12000011","Council area","East Renfrewshire",2020,"2018 to 2022 calendar years; 5-year aggregates","Age-sex standardised rate per 100,000","Drug-related deaths, females",2.6,5.4,17.2,0.9
"S12000013","Council area","Na h-Eileanan Siar",2020,"2018 to 2022 calendar years; 5-year aggregates","Age-sex standardised rate per 100,000","Drug-related deaths, females",0.4,4.2,46.5,0
"S12000014","Council area","Falkirk",2020,"2018 to 2022 calendar years; 5-year aggregates","Age-sex standardised rate per 100,000","Drug-related deaths, females",9.4,11.7,22,5.4
"S12000017","Council area","Highland",2020,"2018 to 2022 calendar years; 5-year aggregates","Age-sex standardised rate per 100,000","Drug-related deaths, females",10.6,9.6,17.5,4.6
"S12000018","Council area","Inverclyde",2020,"2018 to 2022 calendar years; 5-year aggregates","Age-sex standardised rate per 100,000","Drug-related deaths, females",7.2,18.9,38.8,7.5
"S12000019","Council area","Midlothian",2020,"2018 to 2022 calendar years; 5-year aggregates","Age-sex standardised rate per 100,000","Drug-related deaths, females",4.2,9,22.6,2.5
"S12000020","Council area","Moray",2020,"2018 to 2022 calendar years; 5-year aggregates","Age-sex standardised rate per 100,000","Drug-related deaths, females",3.2,7.3,20.7,1.5
"S12000021","Council area","North Ayrshire",2020,"2018 to 2022 calendar years; 5-year aggregates","Age-sex standardised rate per 100,000","Drug-related deaths, females",9.4,15.3,28.7,7
"S12000023","Council area","Orkney Islands",2020,"2018 to 2022 calendar years; 5-year aggregates","Age-sex standardised rate per 100,000","Drug-related deaths, females",0.4,3.5,39.9,0
"S12000026","Council area","Scottish Borders",2020,"2018 to 2022 calendar years; 5-year aggregates","Age-sex standardised rate per 100,000","Drug-related deaths, females",5.8,11.2,25,3.9
"S12000027","Council area","Shetland Islands",2020,"2018 to 2022 calendar years; 5-year aggregates","Age-sex standardised rate per 100,000","Drug-related deaths, females",0.8,7.6,49.8,0
"S12000028","Council area","South Ayrshire",2020,"2018 to 2022 calendar years; 5-year aggregates","Age-sex standardised rate per 100,000","Drug-related deaths, females",7.2,14.2,29.2,5.6
"S12000029","Council area","South Lanarkshire",2020,"2018 to 2022 calendar years; 5-year aggregates","Age-sex standardised rate per 100,000","Drug-related deaths, females",22.6,14,21.1,8.8
"S12000030","Council area","Stirling",2020,"2018 to 2022 calendar years; 5-year aggregates","Age-sex standardised rate per 100,000","Drug-related deaths, females",5.4,12.9,29.3,4.3
"S12000033","Council area","Aberdeen City",2020,"2018 to 2022 calendar years; 5-year aggregates","Age-sex standardised rate per 100,000","Drug-related deaths, females",16.4,14.8,24,8.5
"S12000034","Council area","Aberdeenshire",2020,"2018 to 2022 calendar years; 5-year aggregates","Age-sex standardised rate per 100,000","Drug-related deaths, females",8.2,6.5,12.8,2.8
"S12000035","Council area","Argyll & Bute",2020,"2018 to 2022 calendar years; 5-year aggregates","Age-sex standardised rate per 100,000","Drug-related deaths, females",3.4,9.2,25.6,2
"S12000036","Council area","City of Edinburgh",2020,"2018 to 2022 calendar years; 5-year aggregates","Age-sex standardised rate per 100,000","Drug-related deaths, females",26.6,10.7,15.6,7
"S12000038","Council area","Renfrewshire",2020,"2018 to 2022 calendar years; 5-year aggregates","Age-sex standardised rate per 100,000","Drug-related deaths, females",14.8,16.5,27.4,9.1
"S12000039","Council area","West Dunbartonshire",2020,"2018 to 2022 calendar years; 5-year aggregates","Age-sex standardised rate per 100,000","Drug-related deaths, females",8.2,18.8,36.8,8.1
"S12000040","Council area","West Lothian",2020,"2018 to 2022 calendar years; 5-year aggregates","Age-sex standardised rate per 100,000","Drug-related deaths, females",8.6,9.3,18,4.2
"S12000041","Council area","Angus",2020,"2018 to 2022 calendar years; 5-year aggregates","Age-sex standardised rate per 100,000","Drug-related deaths, females",4.2,7.9,20,2.2
"S12000042","Council area","Dundee City",2020,"2018 to 2022 calendar years; 5-year aggregates","Age-sex standardised rate per 100,000","Drug-related deaths, females",20.6,30.4,46.9,18.6
"S12000045","Council area","East Dunbartonshire",2020,"2018 to 2022 calendar years; 5-year aggregates","Age-sex standardised rate per 100,000","Drug-related deaths, females",3,5.9,17.5,1.1
"S12000047","Council area","Fife",2020,"2018 to 2022 calendar years; 5-year aggregates","Age-sex standardised rate per 100,000","Drug-related deaths, females",18,10.2,16.1,6
